,p_t1,p_t2,p_t3,p_t4,t,score,rmse
0,100,5,10,10,6,0.5348317087364475,0.612743424883802
1,100,10,10,10,6,0.5723671850068043,0.5885373114202599
2,100,20,10,10,6,0.6235775743926548,0.5555774504583985
3,100,50,10,10,6,0.6508654720153862,0.5383901872016946
4,100,75,10,10,6,0.631911711725443,0.5522375931044665
5,100,100,10,10,6,0.6177647321368598,0.5623854704333923
6,100,125,10,10,6,0.6132041975524273,0.5657612309821808
7,100,150,10,10,6,0.6114076570551829,0.5675631368657443
8,100,175,10,10,6,0.6121964774771634,0.5667052334023864
9,100,200,10,10,6,0.6082698396148779,0.5692245428024808
10,100,225,10,10,6,0.6108244789913552,0.5673721731704665
